priority,type,url,status,owner,notes
1,tutor,/hometutor/city/ahmedabad/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/accounts/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/biology/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/biology/class-10/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/biology/class-11/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/biology/class-12/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/biology/class-8/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/biology/class-9/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/chemistry/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/chemistry/class-10/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/chemistry/class-11/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/chemistry/class-12/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/chemistry/class-8/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/chemistry/class-9/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/english/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/english/class-10/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/english/class-11/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/english/class-12/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/english/class-8/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/english/class-9/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/hindi/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/hindi/class-10/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/hindi/class-11/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/hindi/class-12/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/hindi/class-8/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/hindi/class-9/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/maths/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/maths/class-10/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/maths/class-11/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/maths/class-12/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/maths/class-8/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/maths/class-9/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/physics/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/physics/class-10/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/physics/class-11/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/physics/class-12/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/physics/class-12/satellite/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/physics/class-8/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/physics/class-9/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/science/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/science/class-10/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/science/class-11/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/science/class-12/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/science/class-8/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/science/class-9/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/social-science/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/social-science/class-10/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/social-science/class-11/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/social-science/class-12/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/social-science/class-8/,needs-content,seo-team,
1,tutor,/hometutor/city/ahmedabad/subject/social-science/class-9/,needs-content,seo-team,
1,tutor,/hometutor/city/surat/subject/science/,needs-content,seo-team,
1,tutor,/hometutor/city/vadodara/subject/english/,needs-content,seo-team,
2,mock,/assessment/mock-test/jee-main/,needs-content,seo-team,
2,mock,/assessment/mock-test/jee-main/ahmedabad/,needs-content,seo-team,
2,mock,/assessment/mock-test/jee-main/bangalore/,needs-content,seo-team,
2,mock,/assessment/mock-test/jee-main/chennai/,needs-content,seo-team,
2,mock,/assessment/mock-test/jee-main/delhi/,needs-content,seo-team,
2,mock,/assessment/mock-test/jee-main/hyderabad/,needs-content,seo-team,
2,mock,/assessment/mock-test/jee-main/mumbai/,needs-content,seo-team,
